# GNUBANDS: Utility for SIESTA to transform bands output into Gnuplot format
#
#                                                  Emilio Artacho, Feb. 1999
# --------------------------------------------------------------------------
# E_F               =    -5.3390
# k_min, k_max      =     0.0000    2.1178
# E_min, E_max      =   -17.5867  137.1841
# Nbands, Nspin, Nk =    104     1   101
#
#        k            E
# --------------------------------------------------------------------------
      1.765600     -9.817400
      1.785165     -9.837300
      1.804730     -9.847200
      1.824295     -9.845100
      1.843860     -9.828500
      1.863425     -9.795400
      1.882990     -9.744300
      1.902555     -9.674700
      1.922121     -9.587100
      1.941686     -9.483300
      1.961251     -9.365700
      1.980816     -9.237800
      2.000381     -9.104200
      2.019946     -8.970300
      2.039511     -8.842700
      2.059076     -8.729400
      2.078641     -8.639300
      2.098206     -8.580700
      2.117771     -8.560400


      0.000000     -6.990200
      0.022365     -6.909700
      0.044730     -6.923200
      0.067094     -7.027800
      0.089459     -7.202800
      0.111824     -7.423700
      0.134189     -7.670300
      0.156553     -7.928200
      0.178918     -8.187100
      0.201283     -8.439100
      0.223648     -8.677000
      0.246012     -8.893700
      0.268377     -9.081800
      0.290742     -9.232900
      0.313107     -9.339300
      0.335471     -9.395200
      0.357836     -9.399200
      0.380201     -9.355100
      0.402566     -9.271200
      0.424930     -9.158000
      0.447295     -9.027300
      0.469660     -8.891200
      0.492025     -8.763000
      0.514389     -8.656500
      0.536754     -8.585400
      0.559119     -8.560400
      0.580639     -8.575500
      0.602160     -8.623200
      0.623680     -8.697200
      0.645201     -8.790400
      0.666721     -8.895700
      0.688242     -9.006400
      0.709762     -9.116800
      0.731283     -9.222200
      0.752803     -9.318500
      0.774324     -9.402400
      0.795844     -9.471300
      0.817365     -9.523100
      0.838885     -9.556300
      0.860406     -9.564500
      0.881926     -9.558800
      0.903447     -9.537300
      0.924967     -9.492100
      0.946488     -9.429400
      0.968008     -9.351100
      0.989529     -9.259400
      1.011049     -9.157200
      1.032570     -9.048300
      1.054090     -8.937200
      1.075611     -8.829200
      1.097131     -8.730600
      1.118652     -8.648500
      1.140172     -8.590100
      1.161693     -8.561700
      1.183213     -8.565400
      1.204734     -8.601700
      1.227560     -8.655300
      1.250386     -8.716100
      1.273212     -8.781400
      1.296038     -8.845000
      1.318864     -8.905200
      1.341690     -8.959700
      1.364516     -9.008000
      1.387341     -9.051000
      1.410167     -9.090900
      1.432993     -9.130100
      1.452558     -9.098100
      1.472123     -9.069600
      1.491689     -9.065100
      1.511254     -9.093800
      1.530819     -9.148000
      1.550384     -9.215300
      1.569949     -9.287400
      1.589514     -9.360000
      1.609079     -9.429800
      1.628644     -9.496100
      1.648209     -9.557900
      1.667774     -9.614700
      1.687339     -9.666300
      1.706905     -9.712600
      1.726470     -9.753400
      1.746035     -9.788100
      1.765600     -9.816100
      1.785165     -9.835900
      1.804730     -9.845900
      1.824295     -9.844000
      1.843860     -9.827500
      1.863425     -9.794400
      1.882990     -9.743400
      1.902555     -9.673800
      1.922121     -9.586400
      1.941686     -9.482500
      1.961251     -9.364900
      1.980816     -9.237000
      2.000381     -9.103300
      2.019946     -8.969200
      2.039511     -8.841500
      2.059076     -8.728100
      2.078641     -8.637800
      2.098206     -8.579300
      2.117771     -8.560400


      0.000000     -6.990200
      0.022365     -6.909700
      0.044730     -6.923200
      0.067094     -7.027800
      0.089459     -7.202800
      0.111824     -7.423700
      0.134189     -7.670300
      0.156553     -7.928200
      0.178918     -8.187100
      0.201283     -8.439100
      0.223648     -8.677000
      0.246012     -8.893700
      0.268377     -9.081800
      0.290742     -9.232900
      0.313107     -9.338300
      0.335471     -9.392500
      0.357836     -9.396900
      0.380201     -9.353100
      0.402566     -9.269400
      0.424930     -9.156300
      0.447295     -9.025500
      0.469660     -8.889400
      0.492025     -8.761000
      0.514389     -8.654400
      0.536754     -8.583200
      0.559119     -8.558000
      0.580639     -8.561100
      0.602160     -8.609100
      0.623680     -8.683300
      0.645201     -8.776900
      0.666721     -8.882700
      0.688242     -8.994000
      0.709762     -9.105000
      0.731283     -9.211100
      0.752803     -9.308100
      0.774324     -9.392900
      0.795844     -9.462800
      0.817365     -9.515700
      0.838885     -9.549900
      0.860406     -9.564200
      0.881926     -9.558400
      0.903447     -9.533000
      0.924967     -9.487900
      0.946488     -9.424800
      0.968008     -9.345800
      0.989529     -9.253300
      1.011049     -9.150500
      1.032570     -9.040900
      1.054090     -8.929000
      1.075611     -8.820100
      1.097131     -8.720400
      1.118652     -8.637200
      1.140172     -8.577500
      1.161693     -8.558400
      1.183213     -8.557700
      1.204734     -8.585600
      1.227560     -8.589900
      1.250386     -8.706500
      1.273212     -8.780100
      1.296038     -8.843800
      1.318864     -8.904100
      1.341690     -8.958900
      1.364516     -9.007400
      1.387341     -9.050700
      1.410167     -9.090800
      1.432993     -9.129600
      1.452558     -9.097100
      1.472123     -9.068300
      1.491689     -9.063700
      1.511254     -9.092700
      1.530819     -9.147200
      1.550384     -9.214900
      1.569949     -9.287400
      1.589514     -9.359800
      1.609079     -9.330100
      1.628644     -9.179200
      1.648209     -9.020400
      1.667774     -9.048900
      1.687339     -9.147300
      1.706905     -9.247500
      1.726470     -9.351200
      1.746035     -9.460600
      1.765600     -9.578800
      1.785165     -9.708700
      1.804730     -9.627500
      1.824295     -9.353700
      1.843860     -9.075100
      1.863425     -8.873300
      1.882990     -8.871200
      1.902555     -8.858100
      1.922121     -8.836000
      1.941686     -8.806500
      1.961251     -8.771600
      1.980816     -8.733200
      2.000381     -8.693500
      2.019946     -8.654600
      2.039511     -8.618700
      2.059076     -8.588000
      2.078641     -8.564400
      2.098206     -8.559400
      2.117771     -8.558000


      0.000000     -6.983400
      0.022365     -6.902700
      0.044730     -6.916300
      0.067094     -7.021100
      0.089459     -7.196600
      0.111824     -7.417900
      0.134189     -7.664800
      0.156553     -7.923100
      0.178918     -8.182300
      0.201283     -8.434500
      0.223648     -8.672700
      0.246012     -8.889700
      0.268377     -9.078000
      0.290742     -9.229500
      0.313107     -9.329800
      0.335471     -8.939700
      0.357836     -8.541100
      0.380201     -8.236800
      0.402566     -8.307500
      0.424930     -8.369500
      0.447295     -8.422500
      0.469660     -8.466200
      0.492025     -8.500400
      0.514389     -8.524900
      0.536754     -8.539700
      0.559119     -8.544600
      0.580639     -8.561000
      0.602160     -8.609000
      0.623680     -8.683300
      0.645201     -8.776800
      0.666721     -8.882500
      0.688242     -8.993800
      0.709762     -9.104800
      0.731283     -9.210800
      0.752803     -9.307900
      0.774324     -9.392800
      0.795844     -9.462800
      0.817365     -9.515700
      0.838885     -9.549700
      0.860406     -9.285300
      0.881926     -9.476800
      0.903447     -9.532600
      0.924967     -9.487500
      0.946488     -9.424600
      0.968008     -9.345700
      0.989529     -9.253300
      1.011049     -9.150400
      1.032570     -9.040800
      1.054090     -8.928900
      1.075611     -8.820000
      1.097131     -8.720400
      1.118652     -8.637200
      1.140172     -8.577500
      1.161693     -8.547400
      1.183213     -8.550200
      1.204734     -8.585500
      1.227560     -8.542600
      1.250386     -8.512200
      1.273212     -8.494800
      1.296038     -8.488800
      1.318864     -8.490300
      1.341690     -8.493100
      1.364516     -8.489200
      1.387341     -8.469100
      1.410167     -8.423400
      1.432993     -8.721900
      1.452558     -8.523900
      1.472123     -8.465000
