# GNUBANDS: Utility for SIESTA to transform bands output into Gnuplot format
#
#                                                  Emilio Artacho, Feb. 1999
# --------------------------------------------------------------------------
# E_F               =    -4.9895
# k_min, k_max      =     0.0000    2.0578
# E_min, E_max      =   -17.0174  150.9532
# Nbands, Nspin, Nk =    104     1   101
#
#        k            E
# --------------------------------------------------------------------------
      1.620573     -8.736100
      1.639585     -8.834300
      1.658596     -8.935800
      1.677607     -9.042300
      1.696619     -9.156200
      1.715630     -9.279800
      1.734641     -9.363500
      1.753653     -9.232200
      1.772664     -8.965500
      1.791675     -8.694200
      1.810687     -8.454700
      1.829698     -8.454400
      1.848710     -8.444500
      1.867721     -8.426600
      1.886732     -8.402300
      1.905744     -8.373100
      1.924755     -8.340900
      1.943766     -8.307500
      1.962778     -8.274800
      1.981789     -8.244700
      2.000800     -8.219000
      2.019812     -8.199200
      2.038823     -8.179000
      2.057834     -8.181900


      0.000000     -6.622300
      0.021732     -6.586000
      0.043464     -6.630600
      0.065195     -6.758800
      0.086927     -6.943800
      0.108659     -7.163900
      0.130391     -7.402100
      0.152123     -7.646600
      0.173854     -7.888600
      0.195586     -8.120900
      0.217318     -8.337000
      0.239050     -8.530300
      0.260782     -8.694000
      0.282513     -8.820900
      0.304245     -8.879800
      0.325977     -8.504400
      0.347709     -8.122700
      0.369440     -7.894300
      0.391172     -7.960600
      0.412904     -8.018800
      0.434636     -8.068500
      0.456368     -8.109500
      0.478099     -8.141600
      0.499831     -8.164600
      0.521563     -8.178400
      0.543295     -8.157900
      0.564206     -8.172200
      0.585118     -8.214000
      0.606029     -8.279200
      0.626941     -8.362100
      0.647852     -8.456400
      0.668763     -8.556300
      0.689675     -8.656700
      0.710586     -8.753200
      0.731498     -8.842200
      0.752409     -8.920700
      0.773321     -8.986300
      0.794232     -9.037000
      0.815143     -9.071300
      0.836055     -9.072000
      0.856966     -9.087100
      0.877878     -9.068200
      0.898789     -9.031800
      0.919701     -8.978900
      0.940612     -8.910700
      0.961523     -8.829800
      0.982435     -8.738900
      1.003346     -8.641100
      1.024258     -8.540100
      1.045169     -8.440500
      1.066081     -8.347500
      1.086992     -8.267000
      1.107903     -8.205200
      1.128815     -8.167800
      1.149726     -8.158200
      1.170638     -8.177400
      1.192818     -8.176600
      1.214998     -8.159300
      1.237177     -8.152000
      1.259357     -8.153200
      1.281537     -8.158200
      1.303717     -8.160900
      1.325897     -8.153500
      1.348077     -8.128200
      1.370257     -8.078000
      1.392437     -8.266300
      1.411448     -8.117000
      1.430460     -8.072900
